run,step,g_adv,cos_pos,grad_norm,g_lr,d_lr
plain-original,1,9.292121648788452,0.0,9.54344596598665,0.0005,0.00075
plain-original,2,7.488162994384766,0.6788227260112762,8.75407542885509,0.0005,0.00075
plain-original,3,6.173405408859253,0.8279300928115845,12.05101100012481,0.0005,0.00075
plain-original,4,5.188010334968567,0.8942736834287643,20.511471066477164,0.0005,0.00075
plain-original,5,9.945245027542114,0.7865342646837234,32.53790427638982,0.0005,0.00075
plain-original,6,5.525464296340942,0.8307411521673203,16.70439810838105,0.0005,0.00075
plain-original,7,2.989108681678772,0.9194186478853226,13.49405283541077,0.0005,0.00075
plain-original,8,1.6960406601428986,0.9271368682384491,10.15150716101195,0.0005,0.00075
plain-original,9,1.8800185322761536,0.9248621612787247,9.425861901922055,0.0005,0.00075
plain-original,10,1.9775622189044952,0.9232599437236786,9.490519460256875,0.0005,0.00075
plain-original,11,1.7090913355350494,0.9371664375066757,8.117247754233764,0.0005,0.00075
plain-original,12,1.91800257563591,0.9457073211669922,9.139746736671803,0.0005,0.00075
plain-original,13,1.4660191535949707,0.9405194073915482,8.019659605055827,0.0005,0.00075
plain-original,14,1.7722055613994598,0.943466991186142,8.446203626779644,0.0005,0.00075
plain-original,15,1.6399328112602234,0.9301260709762573,6.864679673788333,0.0005,0.00075
plain-original,16,1.2909506261348724,0.9572771936655045,5.857495697982232,0.0005,0.00075
plain-original,17,1.519342690706253,0.9580908864736557,6.9872796733164035,0.0005,0.00075
plain-original,18,1.316580593585968,0.9498750865459442,6.017998108330594,0.0005,0.00075
plain-original,19,1.0550993978977203,0.9658280462026596,4.4939968340066745,0.0005,0.00075
plain-original,20,1.0301379561424255,0.962594136595726,4.44545912196902,0.0005,0.00075
plain-original,21,0.9793394804000854,0.9612438082695007,3.994126498793071,0.0005,0.00075
plain-original,22,0.9738777726888657,0.9636620432138443,4.01378442153679,0.0005,0.00075
plain-original,23,0.9530893415212631,0.9668452441692352,3.6437155341273013,0.0005,0.00075
plain-original,24,0.9802143275737762,0.9652266204357147,3.4130783417813153,0.0005,0.00075
plain-original,25,0.9969410002231598,0.9641784280538559,3.3419782539901863,0.0005,0.00075
plain-original,26,0.9926123321056366,0.9671360701322556,3.0939223258516044,0.0005,0.00075
plain-original,27,1.0339265167713165,0.9685525745153427,3.3598599558509967,0.0005,0.00075
plain-original,28,0.9873123615980148,0.9698649942874908,3.152031557639251,0.0005,0.00075
plain-original,29,0.9379342943429947,0.9711790680885315,3.139229599975999,0.0005,0.00075
plain-original,30,0.9073668122291565,0.9754441678524017,3.0318595929446905,0.0005,0.00075
plain-original,31,0.8408872187137604,0.9725576639175415,2.6372765533631086,0.0005,0.00075
plain-original,32,0.8453763425350189,0.9721042662858963,2.701166466360282,0.0005,0.00075
plain-original,33,0.8390263915061951,0.9739248007535934,2.4359195599297294,0.0005,0.00075
plain-original,34,0.8589565306901932,0.9720869958400726,2.3787193348354574,0.0005,0.00075
plain-original,35,0.8923399299383163,0.9714274704456329,2.437218969175968,0.0005,0.00075
plain-original,36,0.8640908747911453,0.9761761724948883,2.310765710944469,0.0005,0.00075
plain-original,37,0.8608289659023285,0.9772359877824783,2.367518815823308,0.0005,0.00075
plain-original,38,0.8408176302909851,0.9749944061040878,2.130679767149646,0.0005,0.00075
plain-original,39,0.8318484276533127,0.9756809324026108,2.136101611628178,0.0005,0.00075
plain-original,40,0.8596297353506088,0.9774035811424255,2.130467365686781,0.0005,0.00075
plain-original,41,0.8365110456943512,0.9757014662027359,1.95979473132845,0.0005,0.00075
plain-original,42,0.8678544759750366,0.9751561135053635,2.1007437720503073,0.0005,0.00075
plain-original,43,0.8804811835289001,0.9786780178546906,2.192871654537594,0.0005,0.00075
plain-original,44,0.8818779140710831,0.9792133122682571,2.334697041707858,0.0005,0.00075
plain-original,45,0.8953664004802704,0.9780206382274628,2.6075898809130353,0.0005,0.00075
plain-original,46,0.9828444123268127,0.9801170527935028,3.371278770889661,0.0005,0.00075
plain-original,47,1.103907287120819,0.9699259102344513,4.023411231803703,0.0005,0.00075
plain-original,48,1.370972901582718,0.9797482490539551,5.951017489217979,0.0005,0.00075
plain-original,49,2.3074532747268677,0.9384519159793854,8.240340854276699,0.0005,0.00075
plain-original,50,1.680303692817688,0.9798324406147003,5.074006106633778,0.0005,0.00075
plain-original,51,0.7777846157550812,0.9730722457170486,2.2376051709441205,0.0005,0.00075
plain-original,52,0.9020243585109711,0.9740812033414841,1.8378915275453762,0.0005,0.00075
plain-original,53,1.0013156980276108,0.9729387760162354,2.575146722964395,0.0005,0.00075
plain-original,54,0.8034774661064148,0.973929837346077,2.1484565408217486,0.0005,0.00075
